draw_no,date,rank,numbers,core5,cover_number,core5_matches,main_matches,bonus_match,grade,score,core_score,actual,bonus,train_draws,train_until_draw_no
2,2000-10-12,1,06 10 24 35 37 42,10 24 35 37 42,06,0,0,False,はずれ,0.663456,0.661132,01 09 16 20 21 43,05,1,1
2,2000-10-12,2,10 21 24 35 37 42,10 24 35 37 42,21,0,1,False,はずれ,0.660312,0.661132,01 09 16 20 21 43,05,1,1
2,2000-10-12,3,06 18 24 35 37 42,06 18 24 35 37,42,0,0,False,はずれ,0.646548,0.630477,01 09 16 20 21 43,05,1,1
2,2000-10-12,4,06 18 21 24 35 37,06 18 24 35 37,21,0,1,False,はずれ,0.641602,0.630477,01 09 16 20 21 43,05,1,1
2,2000-10-12,5,06 21 24 35 37 42,06 21 24 35 42,37,1,1,False,はずれ,0.646006,0.627372,01 09 16 20 21 43,05,1,1
3,2000-10-19,1,06 10 24 35 37 42,10 24 35 37 42,06,0,0,False,はずれ,0.663456,0.661132,01 05 15 31 36 38,13,2,2
3,2000-10-19,2,10 21 24 35 37 42,10 24 35 37 42,21,0,0,False,はずれ,0.660312,0.661132,01 05 15 31 36 38,13,2,2
3,2000-10-19,3,06 18 24 35 37 42,06 18 24 35 37,42,0,0,False,はずれ,0.646548,0.630477,01 05 15 31 36 38,13,2,2
3,2000-10-19,4,06 18 21 24 35 37,06 18 24 35 37,21,0,0,False,はずれ,0.641602,0.630477,01 05 15 31 36 38,13,2,2
3,2000-10-19,5,06 21 24 35 37 42,06 21 24 35 42,37,0,0,False,はずれ,0.646006,0.627372,01 05 15 31 36 38,13,2,2
4,2000-10-26,1,06 10 24 35 37 42,10 24 35 37 42,06,0,0,False,はずれ,0.663456,0.661132,16 18 26 27 34 40,13,3,3
4,2000-10-26,2,10 21 24 35 37 42,10 24 35 37 42,21,0,0,False,はずれ,0.660312,0.661132,16 18 26 27 34 40,13,3,3
4,2000-10-26,3,06 18 24 35 37 42,06 18 24 35 37,42,1,1,False,はずれ,0.646548,0.630477,16 18 26 27 34 40,13,3,3
4,2000-10-26,4,06 18 21 24 35 37,06 18 24 35 37,21,1,1,False,はずれ,0.641602,0.630477,16 18 26 27 34 40,13,3,3
4,2000-10-26,5,06 21 24 35 37 42,06 21 24 35 42,37,0,0,False,はずれ,0.646006,0.627372,16 18 26 27 34 40,13,3,3
5,2000-11-02,1,06 10 24 35 37 42,10 24 35 37 42,06,0,0,False,はずれ,0.663456,0.661132,09 15 21 23 27 28,43,4,4
5,2000-11-02,2,10 21 24 35 37 42,10 24 35 37 42,21,0,1,False,はずれ,0.660312,0.661132,09 15 21 23 27 28,43,4,4
5,2000-11-02,3,06 18 24 35 37 42,06 18 24 35 37,42,0,0,False,はずれ,0.646548,0.630477,09 15 21 23 27 28,43,4,4
5,2000-11-02,4,06 18 21 24 35 37,06 18 24 35 37,21,0,1,False,はずれ,0.641602,0.630477,09 15 21 23 27 28,43,4,4
5,2000-11-02,5,06 21 24 35 37 42,06 21 24 35 42,37,1,1,False,はずれ,0.646006,0.627372,09 15 21 23 27 28,43,4,4
